Date,Open,High,Low,Close,Adj Close,Volume
2020-10-22,2661.000000,2686.649902,2638.100098,2671.149902,2606.325439,5262294
2020-10-23,2687.800049,2702.000000,2670.100098,2686.800049,2621.595703,3499091
2020-10-26,2689.949951,2709.949951,2670.500000,2688.199951,2622.961914,2672752
2020-10-27,2699.750000,2718.149902,2624.100098,2630.149902,2566.320313,3537502
2020-10-28,2650.000000,2655.949951,2606.000000,2622.199951,2558.563477,3569445
2020-10-29,2608.000000,2655.000000,2600.250000,2632.649902,2568.759766,3105968
2020-10-30,2636.100098,2674.350098,2621.600098,2664.850098,2600.178955,3427003
2020-11-02,2660.000000,2664.850098,2600.050049,2604.600098,2541.391113,2571196
2020-11-03,2604.000000,2665.000000,2601.050049,2633.600098,2569.687012,2879269
2020-11-04,2610.000000,2721.850098,2610.000000,2653.149902,2588.762451,4893928
2020-11-05,2685.000000,2710.000000,2667.000000,2685.699951,2620.522461,2816502
2020-11-06,2699.000000,2713.250000,2681.300049,2707.449951,2641.744629,3884421
2020-11-09,2731.100098,2744.000000,2695.100098,2726.600098,2660.430176,3646592
2020-11-10,2697.199951,2713.149902,2638.350098,2649.600098,2585.298828,4760020
2020-11-11,2667.949951,2692.800049,2643.399902,2687.800049,2622.571289,3242441
2020-11-12,2686.000000,2713.000000,2661.750000,2671.050049,2606.228027,2437505
2020-11-13,2655.750000,2664.899902,2636.000000,2656.850098,2592.372803,2548093
2020-11-14,2677.949951,2689.000000,2660.050049,2670.350098,2605.545410,298819
2020-11-17,2695.000000,2695.000000,2650.050049,2666.050049,2601.349365,2827273
2020-11-18,2661.000000,2664.199951,2607.050049,2626.649902,2562.905518,2893762
2020-11-19,2637.000000,2676.149902,2630.850098,2636.899902,2572.907227,4167501
2020-11-20,2655.000000,2676.000000,2627.550049,2660.250000,2595.689941,2711471
2020-11-23,2690.000000,2730.000000,2665.000000,2724.250000,2658.136719,3706418
2020-11-24,2734.399902,2743.000000,2705.000000,2722.050049,2655.990723,3120516
2020-11-25,2729.000000,2732.949951,2688.199951,2701.300049,2635.744141,3302249
2020-11-26,2686.000000,2730.949951,2680.000000,2720.600098,2654.575684,2341099
2020-11-27,2705.000000,2717.699951,2669.050049,2679.649902,2614.618896,6086808
2020-12-01,2679.000000,2735.899902,2624.449951,2726.800049,2660.625000,3605017
2020-12-02,2719.000000,2754.699951,2702.449951,2749.550049,2682.823242,2509032
2020-12-03,2773.899902,2773.899902,2700.800049,2709.449951,2643.696045,2852548
2020-12-04,2710.800049,2738.850098,2699.000000,2727.550049,2661.356934,2686527
2020-12-07,2715.000000,2744.000000,2706.149902,2737.699951,2671.260498,1996400
2020-12-08,2740.000000,2805.550049,2732.449951,2797.300049,2729.414063,4277818
2020-12-09,2815.000000,2840.000000,2793.149902,2810.800049,2742.586670,3659996
2020-12-10,2818.000000,2827.300049,2780.250000,2784.300049,2716.729492,2127801
2020-12-11,2792.699951,2807.699951,2764.550049,2783.600098,2716.046875,1795408
2020-12-14,2802.000000,2804.000000,2756.250000,2797.699951,2729.804443,2483658
2020-12-15,2786.000000,2794.699951,2755.000000,2761.550049,2694.531982,2365509
2020-12-16,2779.000000,2819.800049,2760.449951,2814.199951,2745.904053,2565149
2020-12-17,2811.000000,2853.699951,2805.000000,2838.199951,2769.321289,2863460
2020-12-18,2868.000000,2898.000000,2846.199951,2861.000000,2791.568604,6076692
2020-12-21,2861.000000,2886.500000,2785.000000,2820.149902,2751.709473,2705195
2020-12-22,2834.000000,2883.649902,2818.649902,2872.500000,2802.789307,2881737
2020-12-23,2876.050049,2919.000000,2865.449951,2908.750000,2838.159424,2790988
2020-12-24,2909.000000,2921.350098,2883.199951,2909.350098,2838.744873,1807144
2020-12-28,2910.000000,2949.699951,2902.000000,2929.399902,2858.308105,2108994
2020-12-29,2920.000000,2952.000000,2920.000000,2930.500000,2859.381592,1994151
2020-12-30,2934.399902,2947.699951,2902.000000,2909.300049,2838.696289,2637968
2020-12-31,2900.000000,2905.000000,2845.000000,2862.750000,2793.276123,4040956
2021-01-01,2880.000000,2940.000000,2879.000000,2928.250000,2857.186279,2681440
2021-01-04,2950.000000,3050.750000,2940.949951,3039.449951,2965.687500,5113293
2021-01-05,3039.600098,3114.250000,3039.600098,3093.000000,3017.937988,5801309
2021-01-06,3100.000000,3113.500000,3037.199951,3051.500000,2977.445068,3726716
2021-01-07,3075.000000,3080.850098,3000.250000,3032.800049,2959.199219,3717827
2021-01-08,3090.000000,3128.000000,3060.000000,3120.899902,3045.160645,5879039
2021-01-11,3230.000000,3230.000000,3146.550049,3176.449951,3099.363281,9508039
2021-01-12,3176.449951,3210.000000,3150.000000,3174.850098,3097.802002,3611458
2021-01-13,3175.000000,3177.000000,3126.250000,3158.949951,3082.287354,3572801
2021-01-14,3155.000000,3266.500000,3120.399902,3250.699951,3177.846680,6931542
2021-01-15,3235.000000,3274.000000,3210.000000,3233.350098,3160.885986,4131692
2021-01-18,3250.000000,3256.750000,3187.399902,3221.750000,3149.545898,4160906
2021-01-19,3233.000000,3279.000000,3232.000000,3260.699951,3187.622559,2975735
2021-01-20,3270.000000,3327.949951,3267.100098,3308.800049,3234.645020,3453446
2021-01-21,3305.000000,3309.149902,3262.100098,3273.850098,3200.478027,2778546
2021-01-22,3241.899902,3325.000000,3241.899902,3303.100098,3229.072510,3052459
2021-01-25,3308.949951,3339.800049,3278.649902,3291.300049,3217.536865,2272887
2021-01-27,3300.000000,3306.449951,3227.000000,3261.050049,3187.965088,2786662
2021-01-28,3230.000000,3275.000000,3183.800049,3196.550049,3124.910156,3083938
2021-01-29,3210.050049,3216.850098,3100.000000,3111.350098,3041.619873,5445659
2021-02-01,3100.000000,3165.000000,3044.100098,3139.350098,3068.992432,3985846
2021-02-02,3174.000000,3224.000000,3150.000000,3203.449951,3131.656006,2881837
2021-02-03,3213.000000,3236.000000,3162.649902,3200.050049,3128.332275,2505866
2021-02-04,3216.050049,3237.850098,3176.000000,3188.449951,3116.991943,2057261
2021-02-05,3198.949951,3205.850098,3129.000000,3157.949951,3087.175537,2366135
2021-02-08,3189.500000,3226.000000,3155.149902,3214.100098,3142.067383,2526592
2021-02-09,3195.000000,3245.800049,3164.000000,3176.899902,3105.700928,2658751
2021-02-10,3185.000000,3219.399902,3157.300049,3213.300049,3141.284912,2127983
2021-02-11,3215.000000,3219.300049,3185.050049,3206.000000,3134.148193,1165882
2021-02-12,3184.199951,3245.500000,3182.000000,3190.800049,3119.289551,2777404
2021-02-15,3209.000000,3209.000000,3131.550049,3139.850098,3069.480957,2630853
2021-02-16,3150.000000,3167.649902,3100.000000,3108.800049,3039.126953,3435770
2021-02-17,3105.100098,3132.850098,3045.550049,3073.100098,3004.227295,3678426
2021-02-18,3065.000000,3097.899902,3031.000000,3057.350098,2988.830078,4189909
2021-02-19,3058.000000,3087.149902,3016.149902,3071.850098,3003.005127,3725028
2021-02-22,3096.000000,3096.000000,2943.149902,2958.449951,2892.146484,5366696
2021-02-23,2970.000000,3028.000000,2968.000000,2980.199951,2913.409424,3832829
2021-02-24,2972.000000,3003.350098,2921.149902,2948.100098,2882.028564,3774549
2021-02-25,2974.000000,3029.899902,2968.449951,2995.300049,2928.170898,4224073
2021-02-26,2960.000000,2972.350098,2880.000000,2894.300049,2829.434326,5553153
2021-03-01,2926.000000,2965.000000,2901.800049,2924.199951,2858.664063,3265871
2021-03-02,2960.000000,3025.000000,2948.000000,3006.350098,2938.973145,3306469
2021-03-03,3035.000000,3064.000000,2996.899902,3059.100098,2990.541260,3509857
2021-03-04,3023.000000,3081.449951,3016.050049,3049.699951,2981.351563,3916760
2021-03-05,3016.100098,3063.199951,2996.600098,3008.050049,2940.635010,3203686
2021-03-08,3016.000000,3033.000000,2996.000000,3006.949951,2939.559570,2003125
2021-03-09,3006.949951,3066.899902,2992.100098,3050.949951,2982.573730,1942397
2021-03-10,3075.000000,3093.199951,3060.000000,3070.949951,3002.125488,3053778
2021-03-12,3075.000000,3117.000000,3041.350098,3057.949951,2989.416748,2938317
2021-03-15,3041.000000,3099.000000,3041.000000,3066.149902,2997.432617,3097083
2021-03-16,3060.000000,3141.000000,3060.000000,3110.050049,3040.348877,4894756
2021-03-17,3105.000000,3155.000000,3085.300049,3112.949951,3043.183838,3838390
2021-03-18,3125.949951,3146.449951,2987.050049,3036.500000,2968.447510,3656306
2021-03-19,3030.000000,3099.000000,3005.000000,3050.199951,2981.840576,5776626
2021-03-22,3048.699951,3139.449951,3018.649902,3129.649902,3059.509277,2821646
2021-03-23,3140.000000,3169.000000,3122.850098,3142.600098,3072.169922,3305973
2021-03-24,3111.199951,3152.300049,3111.149902,3121.100098,3051.151123,2207104
2021-03-25,3112.199951,3130.850098,3050.000000,3064.850098,2996.162354,3179786
2021-03-26,3090.649902,3118.000000,3043.050049,3066.800049,2998.068604,3697370
2021-03-30,3083.000000,3188.449951,3060.899902,3158.550049,3087.762451,4694008
2021-03-31,3155.000000,3205.000000,3132.000000,3177.850098,3106.629395,3530069
2021-04-01,3191.100098,3215.000000,3145.000000,3165.000000,3094.067627,4285076
2021-04-05,3171.000000,3263.000000,3151.000000,3238.899902,3166.311035,5317862
2021-04-06,3275.000000,3275.000000,3230.000000,3264.699951,3191.533203,2291562
2021-04-07,3259.000000,3277.550049,3234.800049,3271.399902,3198.082520,2491268
2021-04-08,3270.000000,3335.000000,3266.050049,3317.350098,3243.002930,2578118
2021-04-09,3354.000000,3354.350098,3308.000000,3322.250000,3247.792969,2911129
